Travel Offer ID,User ID,TimeStamp,Date Of Birth,city,country,Loyalty Card,Payment Card,PRM Type,Preferred means of transportation,Preferred carrier,Class,Seat,Refund Type,Quick,Reliable,Cheap,Comfortable,Door-to-door,Environmentally friendly,Short,Multitasking,Social,Panoramic,Healthy,Legs Number,Profile,Starting point,Destination,Via,LegMode,LegCarrier,LegSeat,LegLength,Departure time,Arrival time,Services,Transfers,Transfer duration,Walking distance to stop,Walking speed,Cycling distance to stop,Cycling speed,Driving speed,Bought Tag
202106241910280,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.652,0.3441,0.8635,0.3315,0.1515,0.2284,0.0372,0.9332,0.0125,0.4937,0.0424,2,Family,Madrid,Barcelona,['Berlin'],"['Car Sharing', 'Urban']","['TMB', 'KLM']","['Window', 'Window']","[46, 31]",1979-08-24 12:51,1979-08-28 00:15,['Coach'],Max 2,At least 40 min,1000m,Slow,,,,1
202106241910281,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.1576,0.8109,0.3873,0.6529,0.0006,0.4003,0.1311,0.0696,0.0669,0.7817,0.4481,1,Basic,Rome,Rome,[],['Train'],['VBB'],['Window'],[91],2001-07-10 20:52,2001-07-10 13:21,['Underground'],Max 1,At least 40 min,1000m,Slow,,,,1
202106241910282,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.5544,0.5234,0.6276,0.6297,0.0402,0.4251,0.9759,0.2944,0.6396,0.1257,0.9813,2,Leisure,Madrid,Oxford,['Crok'],"['Taxi', 'Trolely Bus']","['Iberia', 'SNFC']","['Aisle', 'Aisle']","[10, 41]",1952-10-09 14:28,1952-10-10 18:32,['Bus'],None,At least 20 min,1000m,Slow,,,,1
202106241910283,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.8479,0.7191,0.5392,0.9744,0.4356,0.3278,0.1656,0.9538,0.5959,0.2888,0.1603,1,Leisure,Rome,Frankfurt,[],['Coach'],['Iberia'],['Large'],[23],1964-06-29 6:55,1964-06-28 22:55,['Coach'],Max 2,At least 30 min,1500m,Slow,,,,0
202106241910284,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.0454,0.4623,0.9667,0.8164,0.0143,0.4828,0.1296,0.6506,0.1685,0.2756,0.3999,1,Basic,Oxford,Nice,[],['Train'],['KLM'],['Window'],[21],2011-07-29 17:56,2011-07-29 10:42,['DRT'],Max 4,At least 35 min,1000m,Slow,,,,0
202106241910285,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.1626,0.53,0.5267,0.5878,0.211,0.9672,0.5113,0.0478,0.8698,0.5376,0.1983,2,Basic,Madrid,Oxford,['Paris'],"['Metro', 'Car Sharing']","['Trenitalia', 'Renfe']","['Window', 'Aisle']","[21, 47]",2017-06-23 12:15,2017-06-24 08:09,['Telecabin'],None,At least 25 min,1000m,Slow,,,,0
202106241910286,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.359,0.8448,0.1349,0.1683,0.3305,0.6555,0.6952,0.0285,0.2453,0.7068,0.3961,1,Leisure,Madrid,Frankfurt,[],['Cable Way'],['Trenitalia'],['Aisle'],[25],1993-09-26 14:31,1993-09-26 09:40,['Local type'],Max 1,At least 45 min,1500m,Fast,,,,1
202106241910287,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.6954,0.0413,0.5324,0.1562,0.7829,0.8098,0.9887,0.9822,0.3442,0.6579,0.9777,1,Basic,Nice,Dublin,[],['Ship'],['AirFrance'],['Window'],[90],1974-02-25 23:23,1974-02-25 17:21,['Suburban'],None,At least 15 min,500m,Medium,,,,1
202106241910288,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.8783,0.5059,0.3057,0.9627,0.6018,0.344,0.5199,0.4154,0.5958,0.1931,0.6603,1,Basic,Madrid,Bruxelle,[],['Other'],['FlixBus'],['Aisle'],[64],1971-06-06 21:2,1971-06-06 14:57,['Water transport'],None,At least 45 min,1500m,Slow,,,,0
202106241910289,Ali,2021-06-24 19:10:28.431610,1950-04-16,Madrid,Spain,[],"['Mastercard', 'Visa']",['Older person'],[],"[1.5, 0.0, 2.5, 0.0, 3.5, 0.5, 1.5, 2.5, 0.0, 3.5]",Economy,Large,Manual refund,0.6498,0.9363,0.9459,0.0538,0.4444,0.2023,0.3198,0.0013,0.487,0.4774,0.6106,2,Family,Madrid,Praha,['Kraków'],"['Cable Way', 'Car Sharing']","['SNFC', 'AirFrance']","['Large', 'Aisle']","[69, 44]",1992-12-09 20:17,1992-12-10 10:28,['Telecabin'],None,At least 30 min,500m,Slow,,,,1
